# reading	candidates
# 候補はカンマ区切りで複数書けます。SKK 形式の「よみ /候補/」も source 側で読めます。
にほんご	日本語
にほん	日本
きょう	今日
あした	明日
きのう	昨日
せってい	設定
じっそう	実装
かくにん	確認
しゅうせい	修正
へんこう	変更
ほかん	補完
へんかん	変換
じしょ	辞書
もんだい	問題
げんいん	原因
